
algoritihms            x           y           z         rx        ry       rz    distance
point13  -0.00140502   -0.872783     0.173077     1.58706      -0.0107555    -1.67632      0.889779
mean     -0.001455     -0.871752     0.169656     1.58194      -0.00298547   -1.67614      0.888115
var       1.7289e-06    1.98782e-06  1.04027e-05  6.47463e-05   9.74685e-05   8.10092e-06  2.73406e-06
std       0.00131488    0.0014099    0.00322533   0.00804651    0.00987261    0.00284621   0.0016535

Tsai-Lenz               x             y            z           rx            ry            rz     distance
-----------  ------------  ------------  -----------  -----------  ------------  ------------  -----------
point0       -0.00205183   -0.871784     0.173125     1.57585       0.00857684   -1.67541      0.88881
point1       -0.000674093  -0.870815     0.171398     1.56974       0.000183317  -1.67456      0.887523
point2       -0.00282654   -0.873465     0.16744      1.57107      -0.00948011   -1.67662      0.889374
point3       -0.0021396    -0.87201      0.170767     1.58604      -0.00242657   -1.67786      0.888576
point4       -0.00278088   -0.871373     0.170276     1.59375      -0.00686004   -1.6798       0.887858
point5       -0.00199845   -0.871279     0.166601     1.58749      -0.00375354   -1.67935      0.887067
point6        0.00124535   -0.868841     0.162746     1.58657      -0.00615576   -1.6757       0.883953
point7       -0.00119242   -0.872397     0.167167     1.58886       0.0211693    -1.6676       0.88827
point8       -0.0037549    -0.874187     0.164865     1.57113       0.000277401  -1.67302      0.889606
point9        0.000215469  -0.869695     0.169848     1.57188      -0.0223813    -1.67239      0.886125
point10      -0.00010058   -0.871944     0.171029     1.58976      -0.00159743   -1.67714      0.88856
point11      -0.000540742  -0.872758     0.173218     1.5891       -0.0124362    -1.67578      0.889782
point12      -0.00061034   -0.873246     0.173253     1.583         8.28643e-06  -1.67485      0.890267
point13      -0.00120854   -0.872786     0.173067     1.58763      -0.01076      -1.67551      0.88978
mean         -0.00131558   -0.871899     0.169629     1.58228      -0.0032597    -1.6754       0.888254
var           1.71303e-06   1.95369e-06  1.05004e-05  6.59133e-05   9.58406e-05   8.72904e-06  2.67434e-06
std           0.00130883    0.00139774   0.00324043   0.0081187     0.00978982    0.0029545    0.00163534
